Zaaknummer;Straat;Huisnummer;Huisletter;Toevoeging;Postcode;Plaats;Adres;Kamer;Wetsartikel;"Inhoud uitspraak";"Leges uitspraak";"Datum afdoening";"Type woonruimte";"Huurprijs voor uitspraak";"Huurprijs na uitspraak";"Voorschot sk voor uitspraak";"Voorschot sk na uitspraak";"Bet.verpl. sk voor uitspraak";"Bet.verpl. sk na uitspraak";"Bet.verpl. sk voor uitspraak Bk2";"Bet.verpl. sk na uitspraak Bk2";"Bet.verpl. sk voor uitspraak Bk3";"Bet.verpl. sk na uitspraak Bk3";"Tijdelijk verlaagde huurprijs";"Punten woonruimte";Verzoeker
ZKN-2015-008116;Zuidhoek;104;;"B 01";3082PN;ROTTERDAM;"Zuidhoek 104 B 01, 3082PN ROTTERDAM";;"257 BW - huurverlaging in verband met gebreken";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";15-01-16;Zelfstandig;413,6;413,6;;;;;;;;;;;Huurder
ZKN-2015-008113;Rozengracht;196;;"3 ET";1016NK;AMSTERDAM;"Rozengracht 196 3 ET, 1016NK AMSTERDAM";;"257 BW - huurverlaging in verband met gebreken";Intrekking;"De wederpartij wordt in het gelijk gesteld";06-01-16;Zelfstandig;;;;;;;;;;;;;Huurder
ZKN-2015-008111;Oosterstraat;105;;B;3112SG;SCHIEDAM;"Oosterstraat 105 B, 3112SG SCHIEDAM";;"257 BW - huurverlaging in verband met gebreken";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";19-01-16;Zelfstandig;615;615;;;;;;;;;;;Huurder
ZKN-2015-008097;"Govert Bidloostraat";43;;A;2563XC;'S-GRAVENHAGE;"Govert Bidloostraat 43 A, 2563XC 'S-GRAVENHAGE";;"249 BW - toetsing aanvangshuurprijs";"De huurprijs is niet redelijk";"De verzoeker wordt in het gelijk gesteld";25-01-16;Zelfstandig;435;267,68;;;;;;;;;;;Huurder
ZKN-2015-008069;"van Boecholtstraat";23;;;7415BA;DEVENTER;"van Boecholtstraat 23, 7415BA DEVENTER";;"257 BW - huurverlaging in verband met gebreken";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";08-01-16;Zelfstandig;460,15;460,15;;;;;;;;;;;Huurder
ZKN-2015-008054;"De Gheijnstraat";153;;;2562NN;'S-GRAVENHAGE;"De Gheijnstraat 153, 2562NN 'S-GRAVENHAGE";;"254 BW - voorstel huurprijsverlaging";"De huurprijs is redelijk";"De verzoeker wordt in het gelijk gesteld";25-01-16;Zelfstandig;563,75;379,59;;;;;;;;;;;Huurder
ZKN-2015-008049;"De Gheijnstraat";153;;;2562NN;'S-GRAVENHAGE;"De Gheijnstraat 153, 2562NN 'S-GRAVENHAGE";;"257 BW - huurverlaging in verband met gebreken";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";25-01-16;Zelfstandig;563,75;;;;;;;;;;338,25;;Huurder
ZKN-2015-008039;Aubadestraat;38;;;6544ZD;NIJMEGEN;"Aubadestraat 38, 6544ZD NIJMEGEN";;"249 BW - toetsing aanvangshuurprijs";"De huurprijs is niet redelijk";"De verzoeker wordt in het gelijk gesteld";25-01-16;Zelfstandig;700;422,47;;;;;;;;;337,98;;Huurder
ZKN-2015-008035;"Van Julsinghastraat";1;;"A STUDIO 1";9724LN;GRONINGEN;"Van Julsinghastraat 1 A STUDIO 1, 9724LN GRONINGEN";;"249 BW - toetsing aanvangshuurprijs";"De huurprijs is niet redelijk";"De verzoeker wordt in het gelijk gesteld";27-01-16;Zelfstandig;630;314,96;;;;;;;;;;;Huurder
ZKN-2015-008003;Schapenatjesduin;8;;;2554BW;'S-GRAVENHAGE;"Schapenatjesduin 8, 2554BW 'S-GRAVENHAGE";;"257 BW - huurverlaging in verband met gebreken";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";25-01-16;Onbekend;169,58;;;;;;;;;;67,83;;Huurder
ZKN-2015-007996;Veenweg;108;;;7416BE;DEVENTER;"Veenweg 108, 7416BE DEVENTER";;"254 BW - voorstel huurprijsverlaging";"De huurprijs is niet redelijk";"De verzoeker en de wederpartij worden beide in het gelijk/ongelijk gesteld";22-01-16;Zelfstandig;589,38;544,23;;;;;;;;;;;Huurder
ZKN-2015-007971;"Piet Heinstraat";133;;"ET 1";2518CG;'S-GRAVENHAGE;"Piet Heinstraat 133 ET 1, 2518CG 'S-GRAVENHAGE";;"257 BW - huurverlaging in verband met gebreken";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";26-01-16;Onzelfstandig;487,3;;;;;;;;;;389,84;;Huurder
ZKN-2015-007963;"de Zicht";14;;;7051VM;VARSSEVELD;"de Zicht 14, 7051VM VARSSEVELD";;"257 BW - huurverlaging in verband met gebreken";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";21-01-16;Zelfstandig;598;598;;;;;;;;;;;Huurder
ZKN-2015-007958;Overtoom;556;;"2 KM VR MET BALKON";1054LM;AMSTERDAM;"Overtoom 556 2 KM VR MET BALKON, 1054LM AMSTERDAM";;"257 BW - huurverlaging in verband met gebreken";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";18-01-16;Onzelfstandig;320;;;;;;;;;;70,4;;Huurder
ZKN-2015-007957;Mariendaal;110;;;1025BW;AMSTERDAM;"Mariendaal 110, 1025BW AMSTERDAM";;"257 BW - huurverlaging in verband met gebreken";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";04-01-16;Zelfstandig;562,09;;;;;;;;;;224,84;;Huurder
ZKN-2015-007956;"van Naeltwijckstraat";90;;;2274PD;VOORBURG;"van Naeltwijckstraat 90, 2274PD VOORBURG";;"257 BW - huurverlaging in verband met gebreken";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";08-01-16;Zelfstandig;381,58;;;;;;;;;;305,26;;Huurder
ZKN-2015-007929;Overtoom;556;;"KM 2 ET KLEIN VR EN AT";1054LM;AMSTERDAM;"Overtoom 556 KM 2 ET KLEIN VR EN AT, 1054LM AMSTERDAM";;"257 BW - huurverlaging in verband met gebreken";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";18-01-16;Onzelfstandig;320;;;;;;;;;;70,4;;Huurder
ZKN-2015-007926;Overtoom;556;;"KM 2 ET MIDDEN";1054LM;AMSTERDAM;"Overtoom 556 KM 2 ET MIDDEN, 1054LM AMSTERDAM";;"257 BW - huurverlaging in verband met gebreken";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";18-01-16;Onzelfstandig;320;;;;;;;;;;70,4;;Huurder
ZKN-2015-007914;Vossenstraat;27;;;5701JX;HELMOND;"Vossenstraat 27, 5701JX HELMOND";;"257 BW - huurverlaging in verband met gebreken";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";19-01-16;Zelfstandig;450;450;;;;;;;;;;;Huurder
ZKN-2015-007913;Argonautenstraat;70;;2;1076KT;AMSTERDAM;"Argonautenstraat 70 2, 1076KT AMSTERDAM";;"257 BW - huurverlaging in verband met gebreken";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";27-01-16;Zelfstandig;600,05;;;;;;;;;;360,03;;Huurder
ZKN-2015-007902;Populierenlaan;229;;;1185SK;AMSTELVEEN;"Populierenlaan 229, 1185SK AMSTELVEEN";;"257 BW - huurverlaging in verband met gebreken";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";04-01-16;Zelfstandig;617,65;617,65;;;;;;;;;;;Huurder
ZKN-2015-007901;"Marcus Aureliushof";124;;;6417TD;HEERLEN;"Marcus Aureliushof 124, 6417TD HEERLEN";;"260 BW - afrekening van de servicekosten";"Servicekosten lager dan afrekening";"De verzoeker wordt in het gelijk gesteld";29-01-16;Zelfstandig;;;;;1.549,68;1.232,20;;;;;;;Huurder
ZKN-2015-007897;Meerburgerkade;5;A;;2314VN;LEIDEN;"Meerburgerkade 5 A, 2314VN LEIDEN";;"257 BW - huurverlaging in verband met gebreken";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";25-01-16;Zelfstandig;375,6;375,6;;;;;;;;;;;Huurder
ZKN-2015-007773;Antoniuslaan;19;;"21 KM 10";5921KA;VENLO;"Antoniuslaan 19 21 KM 10, 5921KA VENLO";;"260 BW - afrekening van de servicekosten";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";29-01-16;Onzelfstandig;;;;;575;177,31;;;;;;;Huurder
ZKN-2015-007742;Tallinnhof;22;;;2548TW;'S-GRAVENHAGE;"Tallinnhof 22, 2548TW 'S-GRAVENHAGE";;"257 BW - huurverlaging in verband met gebreken";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";08-01-16;Zelfstandig;681,24;681,24;;;;;;;;;;;Huurder
ZKN-2015-007739;Ericalaan;29;B;;2555LD;'S-GRAVENHAGE;"Ericalaan 29 B, 2555LD 'S-GRAVENHAGE";;"257 BW - huurverlaging in verband met gebreken";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";25-01-16;Zelfstandig;629;;;;;;;;;;377,4;;Huurder
ZKN-2015-007722;"Stijn Buysstraat";59;;;6512CM;NIJMEGEN;"Stijn Buysstraat 59, 6512CM NIJMEGEN";;"254 BW - voorstel huurprijsverlaging";"De huurprijs is niet redelijk";"De verzoeker en de wederpartij worden beide in het gelijk/ongelijk gesteld";06-01-16;Zelfstandig;512;484,58;;;;;;;;;;;Huurder
ZKN-2015-007720;Kerkstraat;369;;;1017HW;AMSTERDAM;"Kerkstraat 369, 1017HW AMSTERDAM";;"258 BW - uitsplitsing all in/incl. huur";"Er is een all in prijs";"De verzoeker wordt in het gelijk gesteld";04-01-16;Zelfstandig;;770;;;;;;;;;;;Huurder
ZKN-2015-007691;Onderlangs;52;;A;1097ZM;AMSTERDAM;"Onderlangs 52 A, 1097ZM AMSTERDAM";;"257 BW - huurverlaging in verband met gebreken";"Wel ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";27-01-16;Zelfstandig;387,6;387,6;;;;;;;;;;;Huurder
ZKN-2015-007672;"Maarten de Vriesstraat";25;;A;4812GB;BREDA;"Maarten de Vriesstraat 25 A, 4812GB BREDA";;"257 BW - huurverlaging in verband met gebreken";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";18-01-16;Zelfstandig;440,61;;;;;;;;;;176,24;;Huurder
ZKN-2015-007662;Kruisstraat;22;;;6041BC;ROERMOND;"Kruisstraat 22, 6041BC ROERMOND";;"257 BW - huurverlaging in verband met gebreken";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";18-01-16;Zelfstandig;595,96;;;;;;;;;;238,38;;Huurder
ZKN-2015-007416;Oranjesingel;21;;"KM 3 ET 2";6511NM;NIJMEGEN;"Oranjesingel 21 KM 3 ET 2, 6511NM NIJMEGEN";;"254 BW - voorstel huurprijsverlaging";"De huurprijs is niet redelijk";"De verzoeker en de wederpartij worden beide in het gelijk/ongelijk gesteld";06-01-16;Onzelfstandig;307;256,23;;;;;;;;;;;Huurder
ZKN-2015-007383;Sterrenkroos;17;;;4823MD;BREDA;"Sterrenkroos 17, 4823MD BREDA";;"257 BW - huurverlaging in verband met gebreken";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";19-01-16;Zelfstandig;502,25;502,25;;;;;;;;;;;Huurder
ZKN-2015-007359;Beeklaan;48;;;2562AL;'S-GRAVENHAGE;"Beeklaan 48, 2562AL 'S-GRAVENHAGE";;"257 BW - huurverlaging in verband met gebreken";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";08-01-16;Zelfstandig;630,26;;;;;;;;;;504,21;;Huurder
ZKN-2015-007353;Wolphaertsbocht;379;;"A 1";3081KJ;ROTTERDAM;"Wolphaertsbocht 379 A 1, 3081KJ ROTTERDAM";;"254 BW - voorstel huurprijsverlaging";"De huurprijs is redelijk";"De verzoeker wordt in het gelijk gesteld";26-01-16;Zelfstandig;510,36;316,33;;;;;;;;;;;Huurder
ZKN-2015-007332;"Sint Antoniesbreestraat";23;;C;1011HB;AMSTERDAM;"Sint Antoniesbreestraat 23 C, 1011HB AMSTERDAM";;"249 BW - toetsing aanvangshuurprijs";"De huurprijs is niet redelijk";"De verzoeker wordt in het gelijk gesteld";04-01-16;Zelfstandig;549,57;507,1;;;;;;;;;;;Huurder
ZKN-2015-007319;"Cornelis Lelylaan";103;;-1;1065CN;AMSTERDAM;"Cornelis Lelylaan 103 -1, 1065CN AMSTERDAM";;"257 BW - huurverlaging in verband met gebreken";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";15-01-16;Zelfstandig;444,17;444,17;;;;;;;;;;;Huurder
ZKN-2015-007313;Wouwermanstraat;4;C;RD;2023XG;HAARLEM;"Wouwermanstraat 4 C RD, 2023XG HAARLEM";;"257 BW - huurverlaging in verband met gebreken";"Wel ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";29-01-16;Zelfstandig;550;550;;;;;;;;;;;Huurder
ZKN-2015-007310;"Hoge Morsweg";37;;"KM 4";2332HG;LEIDEN;"Hoge Morsweg 37 KM 4, 2332HG LEIDEN";;"249 BW - toetsing aanvangshuurprijs";"De huurprijs is niet redelijk";"De verzoeker wordt in het gelijk gesteld";25-01-16;Onzelfstandig;280;138,3;;;;;;;;;;;Huurder
ZKN-2015-007301;Dordtsestraatweg;812;;"2 ET";3075BS;ROTTERDAM;"Dordtsestraatweg 812 2 ET, 3075BS ROTTERDAM";;"260 BW - afrekening van de servicekosten";"Servicekosten lager dan afrekening";"De verzoeker wordt in het gelijk gesteld";12-01-16;Zelfstandig;;;;;272,76;12;;;;;;;Huurder
ZKN-2015-007300;Oudeweg;2;;"2 STUDIO 8";9711TK;GRONINGEN;"Oudeweg 2 2 STUDIO 8, 9711TK GRONINGEN";;"249 BW - toetsing aanvangshuurprijs";"De huurprijs is niet redelijk";"De verzoeker wordt in het gelijk gesteld";07-01-16;Onzelfstandig;703,81;519,83;;;;;;;;;415,86;;Huurder
ZKN-2015-007124;Molukkenstraat;8;;"KM 05";9715NV;GRONINGEN;"Molukkenstraat 8 KM 05, 9715NV GRONINGEN";;"249 BW - toetsing aanvangshuurprijs";"De huurprijs is niet redelijk";"De verzoeker wordt in het gelijk gesteld";25-01-16;Onzelfstandig;275;211,44;;;;;;;;;;;Huurder
ZKN-2015-007043;Rijksstraatweg;250;;"RD KM ZOLDER";2022DJ;HAARLEM;"Rijksstraatweg 250 RD KM ZOLDER, 2022DJ HAARLEM";;"249 BW - toetsing aanvangshuurprijs";"De huurprijs is niet redelijk";"De verzoeker wordt in het gelijk gesteld";04-01-16;Onzelfstandig;450;181,23;;;;;;;;;108,74;;Huurder
ZKN-2015-007010;Ruitersveldweg;31;;D;8091HR;WEZEP;"Ruitersveldweg 31 D, 8091HR WEZEP";;"260 BW - afrekening van de servicekosten";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";25-01-16;Onzelfstandig;;;;;820;743,12;;;;;;;Huurder
ZKN-2015-006995;Narcissenstraat;31;;;5701WS;HELMOND;"Narcissenstraat 31, 5701WS HELMOND";;"257 BW - huurverlaging in verband met gebreken";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";22-01-16;Zelfstandig;;;;;;;;;;;;;Huurder
ZKN-2015-006992;Narcissenstraat;39;;;5701WS;HELMOND;"Narcissenstraat 39, 5701WS HELMOND";;"257 BW - huurverlaging in verband met gebreken";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";22-01-16;Zelfstandig;;;;;;;;;;;;;Huurder
ZKN-2015-006990;Narcissenstraat;45;;;5701WS;HELMOND;"Narcissenstraat 45, 5701WS HELMOND";;"257 BW - huurverlaging in verband met gebreken";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";22-01-16;Zelfstandig;;;;;;;;;;;;;Huurder
ZKN-2015-006963;"Wethouder van Wellaan";75;;D;5701CD;HELMOND;"Wethouder van Wellaan 75 D, 5701CD HELMOND";;"257 BW - huurverlaging in verband met gebreken";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";22-01-16;Zelfstandig;;;;;;;;;;;;;Huurder
ZKN-2015-006953;"Wethouder van Wellaan";77;;;5701CD;HELMOND;"Wethouder van Wellaan 77, 5701CD HELMOND";;"257 BW - huurverlaging in verband met gebreken";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";22-01-16;Zelfstandig;;;;;;;;;;;;;Huurder
ZKN-2015-006950;"Wethouder van Wellaan";75;;C;5701CD;HELMOND;"Wethouder van Wellaan 75 C, 5701CD HELMOND";;"257 BW - huurverlaging in verband met gebreken";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";22-01-16;Zelfstandig;;;;;;;;;;;;;Huurder
ZKN-2015-006949;"Wethouder van Wellaan";79;;A;5701CD;HELMOND;"Wethouder van Wellaan 79 A, 5701CD HELMOND";;"257 BW - huurverlaging in verband met gebreken";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";22-01-16;Zelfstandig;;;;;;;;;;;;;Huurder
ZKN-2015-006945;"Wethouder van Wellaan";97;;;5701CD;HELMOND;"Wethouder van Wellaan 97, 5701CD HELMOND";;"257 BW - huurverlaging in verband met gebreken";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";22-01-16;Zelfstandig;;;;;;;;;;;;;Huurder
ZKN-2015-006935;"Wethouder van Wellaan";79;;F;5701CD;HELMOND;"Wethouder van Wellaan 79 F, 5701CD HELMOND";;"257 BW - huurverlaging in verband met gebreken";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";22-01-16;Zelfstandig;;;;;;;;;;;;;Huurder
ZKN-2015-006934;"Wethouder van Wellaan";79;;D;5701CD;HELMOND;"Wethouder van Wellaan 79 D, 5701CD HELMOND";;"257 BW - huurverlaging in verband met gebreken";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";22-01-16;Zelfstandig;;;;;;;;;;;;;Huurder
ZKN-2015-006933;"Wethouder van Wellaan";99;;C;5701CD;HELMOND;"Wethouder van Wellaan 99 C, 5701CD HELMOND";;"257 BW - huurverlaging in verband met gebreken";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";22-01-16;Zelfstandig;;;;;;;;;;;;;Huurder
ZKN-2015-006932;"Wethouder van Wellaan";95;;C;5701CD;HELMOND;"Wethouder van Wellaan 95 C, 5701CD HELMOND";;"257 BW - huurverlaging in verband met gebreken";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";22-01-16;Zelfstandig;;;;;;;;;;;;;Huurder
ZKN-2015-006931;Narcissenstraat;19;;D;5701WS;HELMOND;"Narcissenstraat 19 D, 5701WS HELMOND";;"257 BW - huurverlaging in verband met gebreken";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";22-01-16;Zelfstandig;;;;;;;;;;;;;Huurder
