Zaaknummer;Straat;Huisnummer;Huisletter;Toevoeging;Postcode;Plaats;Adres;Kamer;Wetsartikel;"Inhoud uitspraak";"Leges uitspraak";"Datum afdoening";"Type woonruimte";"Huurprijs voor uitspraak";"Huurprijs na uitspraak";"Voorschot sk voor uitspraak";"Voorschot sk na uitspraak";"Bet.verpl. sk voor uitspraak";"Bet.verpl. sk na uitspraak";"Bet.verpl. sk voor uitspraak Bk2";"Bet.verpl. sk na uitspraak Bk2";"Bet.verpl. sk voor uitspraak Bk3";"Bet.verpl. sk na uitspraak Bk3";"Tijdelijk verlaagde huurprijs";"Punten woonruimte";Verzoeker
ZKN-2014-013671;Merwedeplein;32;;2;1078NE;AMSTERDAM;"Merwedeplein 32 2, 1078NE AMSTERDAM";;"20.7 UHW - behandeling na gegrond verzet";"Servicekosten lager dan afrekening";;09-03-15;Zelfstandig;;;;;2.627,45;1.476,11;;;;;;;Huurder
ZKN-2014-013662;Larensestraat;90;;;2574VL;'S-GRAVENHAGE;"Larensestraat 90, 2574VL 'S-GRAVENHAGE";;"249 BW - toetsing aanvangshuurprijs";"De huurprijs is niet redelijk";"De verzoeker wordt in het gelijk gesteld";19-03-15;Zelfstandig;685;528,26;;;;;;;;;316,96;;Huurder
ZKN-2014-013638;"Nieuwe Boteringestraat";63;;"B KM 2 VR";9712PJ;GRONINGEN;"Nieuwe Boteringestraat 63 B KM 2 VR, 9712PJ GRONINGEN";;"254 BW - voorstel huurprijsverlaging";"De huurprijs is niet redelijk";"De verzoeker en de wederpartij worden beide in het gelijk/ongelijk gesteld";03-03-15;Onzelfstandig;531;324,15;;;;;;;;;;;Huurder
ZKN-2014-013635;Peizerweg;16;;"A KM 1, 1 ET VR";9726JJ;GRONINGEN;"Peizerweg 16 A KM 1, 1 ET VR, 9726JJ GRONINGEN";;"254 BW - voorstel huurprijsverlaging";"De huurprijs is niet redelijk";"De verzoeker en de wederpartij worden beide in het gelijk/ongelijk gesteld";30-03-15;Onzelfstandig;262;187,26;;;;;;;;;;;Huurder
ZKN-2014-013634;Peizerweg;16;;"A KM 2, 1 ET AT";9726JJ;GRONINGEN;"Peizerweg 16 A KM 2, 1 ET AT, 9726JJ GRONINGEN";;"254 BW - voorstel huurprijsverlaging";"De huurprijs is niet redelijk";"De verzoeker en de wederpartij worden beide in het gelijk/ongelijk gesteld";30-03-15;Onzelfstandig;234;171,17;;;;;;;;;;;Huurder
ZKN-2014-013595;Winschoterdiep;155;;"B KM 3";9724GR;GRONINGEN;"Winschoterdiep 155 B KM 3, 9724GR GRONINGEN";;"249 BW - toetsing aanvangshuurprijs";"De huurprijs is niet redelijk";"De verzoeker wordt in het gelijk gesteld";17-03-15;Onzelfstandig;300;167,12;;;;;;;;;;;Huurder
ZKN-2014-013593;"Van Speijckstraat";12;;;7141VZ;GROENLO;"Van Speijckstraat 12, 7141VZ GROENLO";;"257 BW - huurverlaging in verband met gebreken";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";13-03-15;Zelfstandig;523,81;523,81;;;;;;;;;;;Huurder
ZKN-2014-013565;Triangelstraat;14;;"KM BG";6544VK;NIJMEGEN;"Triangelstraat 14 KM BG, 6544VK NIJMEGEN";;"258 BW - uitsplitsing all in/incl. huur";"Er is een all in prijs";"De verzoeker wordt in het gelijk gesteld";10-03-15;Onzelfstandig;400;273,83;;;;;;;;;;;Huurder
ZKN-2014-013545;Kwekerijstraat;12;;"KM 3";6828BC;ARNHEM;"Kwekerijstraat 12 KM 3, 6828BC ARNHEM";;"249 BW - toetsing aanvangshuurprijs";"De huurprijs is niet redelijk";"De verzoeker wordt in het gelijk gesteld";30-03-15;Onzelfstandig;260;149,6;;;;;;;;;;;Huurder
ZKN-2014-013484;Tuinstraat;36;;"APP 4";9711VD;GRONINGEN;"Tuinstraat 36 APP 4, 9711VD GRONINGEN";;"260 BW - afrekening van de servicekosten";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";13-02-15;Zelfstandig;;;;;1.297,00;305,47;;;;;;;Huurder
ZKN-2014-013377;Marxsingel;12;;;6836JC;ARNHEM;"Marxsingel 12, 6836JC ARNHEM";;"257 BW - huurverlaging in verband met gebreken";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";30-03-15;Zelfstandig;650;650;;;;;;;;;260;;Huurder
ZKN-2014-013355;Ohmstraat;86;;;2561SH;'S-GRAVENHAGE;"Ohmstraat 86, 2561SH 'S-GRAVENHAGE";;"254 BW - voorstel huurprijsverlaging";"De huurprijs is niet redelijk";"De verzoeker en de wederpartij worden beide in het gelijk/ongelijk gesteld";09-03-15;Zelfstandig;;;;;;;;;;;;;Huurder
ZKN-2014-013338;Winschoterdiep;155;;"B KM 2";9724GR;GRONINGEN;"Winschoterdiep 155 B KM 2, 9724GR GRONINGEN";;"249 BW - toetsing aanvangshuurprijs";"De huurprijs is niet redelijk";"De verzoeker wordt in het gelijk gesteld";12-03-15;Onzelfstandig;300;177,21;;;;;;;;;;;Huurder
ZKN-2014-013286;Peizerweg;77;;"B STUDIO I 1 ET";9726JG;GRONINGEN;"Peizerweg 77 B STUDIO I 1 ET, 9726JG GRONINGEN";;"254 BW - voorstel huurprijsverlaging";"De huurprijs is niet redelijk";"De verzoeker en de wederpartij worden beide in het gelijk/ongelijk gesteld";30-03-15;Onzelfstandig;520;415,57;;;;;;;;;;;Huurder
ZKN-2014-013282;Waterreelaan;21;;;5704DV;HELMOND;"Waterreelaan 21, 5704DV HELMOND";;"249 BW - toetsing aanvangshuurprijs";"De huurprijs is redelijk";"De wederpartij wordt in het gelijk gesteld";30-03-15;Zelfstandig;564,62;564,62;;;;;;;;;;;Huurder
ZKN-2014-013279;Zuiderparklaan;185;;;2574HG;'S-GRAVENHAGE;"Zuiderparklaan 185, 2574HG 'S-GRAVENHAGE";;"257 BW - huurverlaging in verband met gebreken";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";19-03-15;Zelfstandig;470,58;;;;;;;;;;188,23;;Huurder
ZKN-2014-013278;Bruntenhof;11;;;3512KZ;UTRECHT;"Bruntenhof 11, 3512KZ UTRECHT";;"249 BW - toetsing aanvangshuurprijs";"De huurprijs is redelijk";"De wederpartij wordt in het gelijk gesteld";30-03-15;Zelfstandig;597,02;597,02;;;;;;;;;;;Huurder
ZKN-2014-013265;Bieslandsekade;106;;;2612JZ;DELFT;"Bieslandsekade 106, 2612JZ DELFT";;"254 BW - voorstel huurprijsverlaging";"De huurprijs is niet redelijk";"De wederpartij wordt in het gelijk gesteld";30-03-15;Zelfstandig;468,42;438,35;;;;;;;;;;;Huurder
ZKN-2014-013259;"Sam van Houtenstraat";295;;;1067JL;AMSTERDAM;"Sam van Houtenstraat 295, 1067JL AMSTERDAM";;"257 BW - huurverlaging in verband met gebreken";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";26-03-15;Zelfstandig;597,25;597,25;;;;;;;;;;;Huurder
ZKN-2014-013253;Hembrugstraat;118;;;1013XC;AMSTERDAM;"Hembrugstraat 118, 1013XC AMSTERDAM";;"257 BW - huurverlaging in verband met gebreken";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";30-03-15;Zelfstandig;489,35;489,35;;;;;;;;;;;Huurder
ZKN-2014-013249;Houtzagerssingel;145;;;2512XJ;'S-GRAVENHAGE;"Houtzagerssingel 145, 2512XJ 'S-GRAVENHAGE";;"260 BW - afrekening van de servicekosten";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";17-03-15;Zelfstandig;;;;;;;;;;;;;Huurder
ZKN-2014-013248;Houtzagerssingel;145;;;2512XJ;'S-GRAVENHAGE;"Houtzagerssingel 145, 2512XJ 'S-GRAVENHAGE";;"260 BW - afrekening van de servicekosten";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";16-03-15;Zelfstandig;;;;;;;;;;;;;
ZKN-2014-013208;"Laan van Clingendael";154;;;2597CH;'S-GRAVENHAGE;"Laan van Clingendael 154, 2597CH 'S-GRAVENHAGE";;"254 BW - voorstel huurprijsverlaging";"De huurprijs is redelijk";"De wederpartij wordt in het gelijk gesteld";30-03-15;Zelfstandig;794,24;794,24;;;;;;;;;;;Huurder
ZKN-2014-013202;"Van Rappardstraat";31;;1;1051HX;AMSTERDAM;"Van Rappardstraat 31 1, 1051HX AMSTERDAM";;"254 BW - voorstel huurprijsverlaging";"De huurprijs is redelijk";"De verzoeker wordt in het gelijk gesteld";26-03-15;Zelfstandig;603,1;512,39;;;;;;;;;;;Huurder
ZKN-2014-013188;Eikenlaan;59;;;9741EJ;GRONINGEN;"Eikenlaan 59, 9741EJ GRONINGEN";;"257 BW - huurverlaging in verband met gebreken";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";17-03-15;Zelfstandig;631,25;;;;;;;;;;252,5;;Huurder
ZKN-2014-013187;Paterswoldseweg;111;;"A KM 1ET AT RTS";9727BD;GRONINGEN;"Paterswoldseweg 111 A KM 1ET AT RTS, 9727BD GRONINGEN";;"249 BW - toetsing aanvangshuurprijs";"De huurprijs is niet redelijk";"De verzoeker wordt in het gelijk gesteld";27-02-15;Onzelfstandig;187;108,77;;;;;;;;;;;Huurder
ZKN-2014-013185;Veldhovenring;44;;13;5041BC;TILBURG;"Veldhovenring 44 13, 5041BC TILBURG";;"254 BW - voorstel huurprijsverlaging";"De huurprijs is niet redelijk";"De wederpartij wordt in het gelijk gesteld";25-03-15;Zelfstandig;410;410;;;;;;;;;;;Huurder
ZKN-2014-013174;"Olivier van Noortplein";6;;;2871SR;SCHOONHOVEN;"Olivier van Noortplein 6, 2871SR SCHOONHOVEN";;"257 BW - huurverlaging in verband met gebreken";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";12-03-15;Zelfstandig;;;;;;;;;;;;;Huurder
ZKN-2014-013166;Putselaan;152;;A;3074JG;ROTTERDAM;"Putselaan 152 A, 3074JG ROTTERDAM";;"249 BW - toetsing aanvangshuurprijs";"De huurprijs is redelijk";"De verzoeker wordt in het gelijk gesteld";19-03-15;Zelfstandig;672,28;;;;;;;;;;289,58;;Huurder
ZKN-2014-013165;Vrijheidslaan;64;;1;1078PN;AMSTERDAM;"Vrijheidslaan 64 1, 1078PN AMSTERDAM";;"257 BW - huurverlaging in verband met gebreken";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";26-03-15;Zelfstandig;366,5;146,6;;;;;;;;;146,6;;Huurder
ZKN-2014-013163;Zocherstraat;70;;1;1054MA;AMSTERDAM;"Zocherstraat 70 1, 1054MA AMSTERDAM";;"258 BW - uitsplitsing all in/incl. huur";"Niet ontvankelijk";"De wederpartij wordt in het gelijk gesteld";30-03-15;Zelfstandig;1.150,00;310,91;;;;;;;;;;;Huurder
ZKN-2014-013162;Troelstralaan;425;;;1067MX;AMSTERDAM;"Troelstralaan 425, 1067MX AMSTERDAM";;"254 BW - voorstel huurprijsverlaging";"De huurprijs is niet redelijk";"De wederpartij wordt in het gelijk gesteld";30-03-15;Zelfstandig;797,86;797,86;;;;;;;;;;;Huurder
ZKN-2014-013161;Zocherstraat;70;;1;1054MA;AMSTERDAM;"Zocherstraat 70 1, 1054MA AMSTERDAM";;"257 BW - huurverlaging in verband met gebreken";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";30-03-15;Zelfstandig;1.150,00;310,91;;;;;;;;;62,18;;Huurder
ZKN-2014-013157;"Ben Viljoenstraat";24;;3;1091XT;AMSTERDAM;"Ben Viljoenstraat 24 3, 1091XT AMSTERDAM";;"257 BW - huurverlaging in verband met gebreken";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";10-03-15;Zelfstandig;357,93;;;;;;;;;;148,9;;Huurder
ZKN-2014-013152;"Jacob van Lennepkade";189;;1;1054ZN;AMSTERDAM;"Jacob van Lennepkade 189 1, 1054ZN AMSTERDAM";;"257 BW - huurverlaging in verband met gebreken";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";31-03-15;Zelfstandig;429,67;429,67;;;;;;;;;;;Huurder
ZKN-2014-013140;Joubertstraat;65;;"2 ET KM LKS";6543NS;NIJMEGEN;"Joubertstraat 65 2 ET KM LKS, 6543NS NIJMEGEN";;"249 BW - toetsing aanvangshuurprijs";"De huurprijs is niet redelijk";"De verzoeker wordt in het gelijk gesteld";30-03-15;Onzelfstandig;400;179,2;;;;;;;;;;;Huurder
ZKN-2014-013120;Parkzicht;31;;;2317RC;LEIDEN;"Parkzicht 31, 2317RC LEIDEN";;"257 BW - huurverlaging in verband met gebreken";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";30-03-15;Zelfstandig;680,84;;;;;;;;;;530,52;;Huurder
ZKN-2014-013117;Beresteinlaan;11;;;2542JA;'S-GRAVENHAGE;"Beresteinlaan 11, 2542JA 'S-GRAVENHAGE";;"257 BW - huurverlaging in verband met gebreken";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";06-03-15;Zelfstandig;490,56;;;;;;;;;;294,34;;Huurder
ZKN-2014-013105;Valthestraat;92;;;2545TD;'S-GRAVENHAGE;"Valthestraat 92, 2545TD 'S-GRAVENHAGE";;"257 BW - huurverlaging in verband met gebreken";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";27-03-15;Zelfstandig;365,78;;;;;;;;;;256,05;;Huurder
ZKN-2014-013086;Mozartlaan;260;;;2555KP;'S-GRAVENHAGE;"Mozartlaan 260, 2555KP 'S-GRAVENHAGE";;"260 BW - afrekening van de servicekosten";"Servicekosten lager dan afrekening";"De wederpartij wordt in het gelijk gesteld";30-03-15;Zelfstandig;;;;;1.114,39;1.059,41;;;;;;;Huurder
ZKN-2014-013084;Mozartlaan;260;;;2555KP;'S-GRAVENHAGE;"Mozartlaan 260, 2555KP 'S-GRAVENHAGE";;"260 BW - afrekening van de servicekosten";"Servicekosten conform afrekening";"De wederpartij wordt in het gelijk gesteld";30-03-15;Zelfstandig;;;;;1.034,32;984,9;;;;;;;Huurder
ZKN-2014-013082;Mozartlaan;260;;;2555KP;'S-GRAVENHAGE;"Mozartlaan 260, 2555KP 'S-GRAVENHAGE";;"260 BW - afrekening van de servicekosten";"Servicekosten lager dan afrekening";"De wederpartij wordt in het gelijk gesteld";30-03-15;Zelfstandig;;;;;1.149,96;1.127,71;;;;;;;Huurder
ZKN-2014-013063;"Verlengde Hereweg";61;;"A KM 5 2 ET VR";9721AG;GRONINGEN;"Verlengde Hereweg 61 A KM 5 2 ET VR, 9721AG GRONINGEN";;"260 BW - afrekening van de servicekosten";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";13-02-15;Onzelfstandig;;;;;1.320,00;386,5;;;;;;;Huurder
ZKN-2014-013056;Wilgenstraat;8;;;7101TC;WINTERSWIJK;"Wilgenstraat 8, 7101TC WINTERSWIJK";;"257 BW - huurverlaging in verband met gebreken";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";13-03-15;Zelfstandig;699;699;;;;;;;;;;;Huurder
ZKN-2014-013055;"Verlengde Hereweg";61;;"A KM 5 2 ET VR";9721AG;GRONINGEN;"Verlengde Hereweg 61 A KM 5 2 ET VR, 9721AG GRONINGEN";;"260 BW - afrekening van de servicekosten";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";13-02-15;Onzelfstandig;;;;;1.320,00;375;;;;;;;Huurder
ZKN-2014-013053;"Willem II Singel";20;C;;6041HS;ROERMOND;"Willem II Singel 20 C, 6041HS ROERMOND";;"257 BW - huurverlaging in verband met gebreken";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";17-03-15;Zelfstandig;625;;;;;;;;;;250;;Huurder
ZKN-2014-013050;Vrolikstraat;321;;4;1091VE;AMSTERDAM;"Vrolikstraat 321 4, 1091VE AMSTERDAM";;"257 BW - huurverlaging in verband met gebreken";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";10-02-15;Zelfstandig;391,83;;;;;;;;;;235,1;;Huurder
ZKN-2014-013045;Blekerslaan;33;;;2512VE;'S-GRAVENHAGE;"Blekerslaan 33, 2512VE 'S-GRAVENHAGE";;"260 BW - afrekening van de servicekosten";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";30-03-15;Zelfstandig;;;;;603,23;131,47;;;;;;;Huurder
ZKN-2014-012980;"Korte Nieuwstraat";60;;;5014HA;TILBURG;"Korte Nieuwstraat 60, 5014HA TILBURG";;"260 BW - afrekening van de servicekosten";"Servicekosten conform afrekening";"De wederpartij wordt in het gelijk gesteld";04-03-15;Zelfstandig;;;;;1.348,54;1.348,54;;;;;;;Huurder
ZKN-2014-012968;Parkweg;112;;"B KM 6";9727HC;GRONINGEN;"Parkweg 112 B KM 6, 9727HC GRONINGEN";;"260 BW - afrekening van de servicekosten";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";23-03-15;Onzelfstandig;;;;;770;11;;;;;;;Huurder
ZKN-2014-012937;Finnmark;3;;A;3831JE;LEUSDEN;"Finnmark 3 A, 3831JE LEUSDEN";;"254 BW - voorstel huurprijsverlaging";"De huurprijs is niet redelijk";"De verzoeker en de wederpartij worden beide in het gelijk/ongelijk gesteld";30-03-15;Zelfstandig;540;459,49;;;;;;;;;;;Huurder
ZKN-2014-012922;Stokroos;5;;;3434VH;NIEUWEGEIN;"Stokroos 5, 3434VH NIEUWEGEIN";;"254 BW - voorstel huurprijsverlaging";"De huurprijs is niet redelijk";"De verzoeker en de wederpartij worden beide in het gelijk/ongelijk gesteld";30-03-15;Zelfstandig;716,59;709,75;;;;;;;;;;;Huurder
ZKN-2014-012891;Iepenrode;6;;;3085CC;ROTTERDAM;"Iepenrode 6, 3085CC ROTTERDAM";;"249 BW - toetsing aanvangshuurprijs";"De huurprijs is niet redelijk";"De verzoeker wordt in het gelijk gesteld";12-03-15;Zelfstandig;514,52;494,73;;;;;;;;;;;Huurder
ZKN-2014-012886;Boerhaavelaan;95;B;1;3112LE;SCHIEDAM;"Boerhaavelaan 95 B 1, 3112LE SCHIEDAM";;"257 BW - huurverlaging in verband met gebreken";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";11-03-15;Zelfstandig;670;;;;;;;;;;536;;Huurder
ZKN-2014-012880;Boerhaavelaan;95;B;1;3112LE;SCHIEDAM;"Boerhaavelaan 95 B 1, 3112LE SCHIEDAM";;"254 BW - voorstel huurprijsverlaging";"De huurprijs is niet redelijk";"De verzoeker wordt in het gelijk gesteld";11-03-15;Zelfstandig;670;;;;;;;;;;565,29;;Huurder
ZKN-2014-012874;Hillekopplein;130;;;3072KV;ROTTERDAM;"Hillekopplein 130, 3072KV ROTTERDAM";;"4.3 UHW - melding herstel van gebreken";"Gebreken geheel verholpen";"De verzoeker wordt in het gelijk gesteld";19-03-15;Zelfstandig;282,31;344,89;;;;;;;;;;;Verhuurder
ZKN-2014-012868;"Laan op Zuid";985;;;3072DB;ROTTERDAM;"Laan op Zuid 985, 3072DB ROTTERDAM";;"257 BW - huurverlaging in verband met gebreken";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";19-03-15;Zelfstandig;689,89;689,89;;;;;;;;;;;Huurder
ZKN-2014-012833;Kraneweg;82;;D;9718JV;GRONINGEN;"Kraneweg 82 D, 9718JV GRONINGEN";;"249 BW - toetsing aanvangshuurprijs";"De huurprijs is niet redelijk";"De verzoeker wordt in het gelijk gesteld";24-02-15;Zelfstandig;528;313,19;;;;;;;;;;;Huurder
ZKN-2014-012656;"Sint Lucasstraat";8;;"KM 4";9718LR;GRONINGEN;"Sint Lucasstraat 8 KM 4, 9718LR GRONINGEN";;"260 BW - afrekening van de servicekosten";"Servicekosten lager dan afrekening";"De verzoeker wordt in het gelijk gesteld";19-02-15;Onzelfstandig;;;;;1.159,66;921,74;;;;;;;Huurder
ZKN-2014-012645;Houtzagerssingel;145;;;2512XJ;'S-GRAVENHAGE;"Houtzagerssingel 145, 2512XJ 'S-GRAVENHAGE";;"257 BW - huurverlaging in verband met gebreken";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";16-03-15;Zelfstandig;;;;;;;;;;;;;Huurder
ZKN-2014-012633;"Van Limburg Stirumstraat";143;;;2515PC;'S-GRAVENHAGE;"Van Limburg Stirumstraat 143, 2515PC 'S-GRAVENHAGE";;"257 BW - huurverlaging in verband met gebreken";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";18-02-15;Zelfstandig;620;;;;;;;;;;372;;Huurder
ZKN-2014-012628;"Sint Lucasstraat";8;;"KM 3";9718LR;GRONINGEN;"Sint Lucasstraat 8 KM 3, 9718LR GRONINGEN";;"260 BW - afrekening van de servicekosten";"Servicekosten lager dan afrekening";"De verzoeker wordt in het gelijk gesteld";19-02-15;Onzelfstandig;;;;;1.159,66;921,74;;;;;;;Huurder
ZKN-2014-012574;Fregat;111;;;1113EG;DIEMEN;"Fregat 111, 1113EG DIEMEN";;"4.3 UHW - melding herstel van gebreken";"Gebreken geheel verholpen";"De verzoeker wordt in het gelijk gesteld";30-03-15;Zelfstandig;299,78;500,67;;;;;;;;;;;Verhuurder
ZKN-2014-012571;Koperwiek;21;;;5165KL;WASPIK;"Koperwiek 21, 5165KL WASPIK";;"249 BW - toetsing aanvangshuurprijs";"De huurprijs is redelijk";"De wederpartij wordt in het gelijk gesteld";11-02-15;Zelfstandig;643,75;643,75;;;;;;;;;;;Huurder
ZKN-2014-012568;Soetensteeg;10;;"KM 1";3011GR;ROTTERDAM;"Soetensteeg 10 KM 1, 3011GR ROTTERDAM";;"254 BW - voorstel huurprijsverlaging";"De huurprijs is niet redelijk";"De verzoeker en de wederpartij worden beide in het gelijk/ongelijk gesteld";11-03-15;Onzelfstandig;384,8;250;;;;;;;;;;;Huurder
ZKN-2014-012563;"1e Stampioendwarsstraat";12;;C;3071TN;ROTTERDAM;"1e Stampioendwarsstraat 12 C, 3071TN ROTTERDAM";;"254 BW - voorstel huurprijsverlaging";"De huurprijs is redelijk";"De wederpartij wordt in het gelijk gesteld";11-03-15;Zelfstandig;;;;;;;;;;;;;Huurder
ZKN-2014-012533;"Laan van Nieuw Oosteinde";330;;;2274GG;VOORBURG;"Laan van Nieuw Oosteinde 330, 2274GG VOORBURG";;"249 BW - toetsing aanvangshuurprijs";"De huurprijs is niet redelijk";"De verzoeker wordt in het gelijk gesteld";20-02-15;Zelfstandig;800;597,02;;;;;;;;;;;Huurder
ZKN-2014-012505;Celsiusstraat;110;;;2562TH;'S-GRAVENHAGE;"Celsiusstraat 110, 2562TH 'S-GRAVENHAGE";;"4.3 UHW - melding herstel van gebreken";"Gebreken deels verholpen of niet verholpen";"De wederpartij wordt in het gelijk gesteld";09-03-15;Zelfstandig;;;;;;;;;;;;;Verhuurder
ZKN-2014-012500;Ankaradreef;330;;;3564VZ;UTRECHT;"Ankaradreef 330, 3564VZ UTRECHT";;"257 BW - huurverlaging in verband met gebreken";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";30-03-15;Zelfstandig;506,07;506,07;;;;;;;;;;;Huurder
ZKN-2014-012486;Pelsterstraat;16;;"KM C3 2 ET VR";9711KL;GRONINGEN;"Pelsterstraat 16 KM C3 2 ET VR, 9711KL GRONINGEN";;"260 BW - afrekening van de servicekosten";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";24-03-15;Onzelfstandig;;;;;3.000,00;374,5;;;;;;;Huurder
ZKN-2014-012485;Pelsterstraat;16;;"KM C3 2 ET VR";9711KL;GRONINGEN;"Pelsterstraat 16 KM C3 2 ET VR, 9711KL GRONINGEN";;"260 BW - afrekening van de servicekosten";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";24-03-15;Onzelfstandig;;;;;1.750,00;374,5;;;;;;;Huurder
