Zaaknummer;Straat;Huisnummer;Huisletter;Toevoeging;Postcode;Plaats;Adres;Kamer;Wetsartikel;"Inhoud uitspraak";"Leges uitspraak";"Datum afdoening";"Type woonruimte";"Huurprijs voor uitspraak";"Huurprijs na uitspraak";"Voorschot sk voor uitspraak";"Voorschot sk na uitspraak";"Bet.verpl. sk voor uitspraak";"Bet.verpl. sk na uitspraak";"Bet.verpl. sk voor uitspraak Bk2";"Bet.verpl. sk na uitspraak Bk2";"Bet.verpl. sk voor uitspraak Bk3";"Bet.verpl. sk na uitspraak Bk3";"Tijdelijk verlaagde huurprijs";"Punten woonruimte";Verzoeker
ZKN-2016-000996;"Professor Enno Dirk Wiersmastraat";3;;16;9713GH;GRONINGEN;"Professor Enno Dirk Wiersmastraat 3 16, 9713GH GRONINGEN";;"260 BW - afrekening van de servicekosten";"Servicekosten lager dan afrekening";"De verzoeker wordt in het gelijk gesteld";20-02-17;Zelfstandig;;;;;2.586,26;1.843,96;;;;;;;Huurder
ZKN-2016-001005;"Anske Lammingastraat";37;;2;1065GE;AMSTERDAM;"Anske Lammingastraat 37 2, 1065GE AMSTERDAM";;"257 BW - huurverlaging in verband met gebreken";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";20-02-17;Zelfstandig;484,72;484,72;;;;;;;;;;;Huurder
ZKN-2016-001103;"Professor Enno Dirk Wiersmastraat";3;;-4;9713GH;GRONINGEN;"Professor Enno Dirk Wiersmastraat 3 -4, 9713GH GRONINGEN";;"260 BW - afrekening van de servicekosten";"Servicekosten lager dan afrekening";"De verzoeker wordt in het gelijk gesteld";20-02-17;Zelfstandig;;;;;2.047,98;1.154,44;;;;;;;Huurder
ZKN-2016-001108;"Professor Enno Dirk Wiersmastraat";3;;11;9713GH;GRONINGEN;"Professor Enno Dirk Wiersmastraat 3 11, 9713GH GRONINGEN";;"260 BW - afrekening van de servicekosten";"Servicekosten lager dan afrekening";"De verzoeker wordt in het gelijk gesteld";20-02-17;Zelfstandig;;;;;2.735,89;1.799,30;;;;;;;Huurder
ZKN-2016-001111;"Professor Enno Dirk Wiersmastraat";3;;-22;9713GH;GRONINGEN;"Professor Enno Dirk Wiersmastraat 3 -22, 9713GH GRONINGEN";;"260 BW - afrekening van de servicekosten";"Servicekosten lager dan afrekening";"De verzoeker wordt in het gelijk gesteld";20-02-17;Zelfstandig;;;;;2.586,26;1.830,80;;;;;;;Huurder
ZKN-2016-001119;Wouwsestraatweg;20;;"KM 1 ET AT";4621JA;"BERGEN OP ZOOM";"Wouwsestraatweg 20 KM 1 ET AT, 4621JA BERGEN OP ZOOM";;"260 BW - afrekening van de servicekosten";"Niet ontvankelijk";"De wederpartij wordt in het gelijk gesteld";08-02-17;Onzelfstandig;;;;;;;;;;;;;Huurder
ZKN-2016-001130;"Professor Enno Dirk Wiersmastraat";3;;12;9713GH;GRONINGEN;"Professor Enno Dirk Wiersmastraat 3 12, 9713GH GRONINGEN";;"260 BW - afrekening van de servicekosten";"Servicekosten lager dan afrekening";"De verzoeker wordt in het gelijk gesteld";20-02-17;Zelfstandig;;;;;1.611,25;1.067,75;;;;;;;Huurder
ZKN-2016-001131;"Professor Enno Dirk Wiersmastraat";3;;15;9713GH;GRONINGEN;"Professor Enno Dirk Wiersmastraat 3 15, 9713GH GRONINGEN";;"260 BW - afrekening van de servicekosten";"Servicekosten lager dan afrekening";"De verzoeker wordt in het gelijk gesteld";20-02-17;Zelfstandig;;;;;2.738,51;1.820,30;;;;;;;Huurder
ZKN-2016-001132;"Professor Enno Dirk Wiersmastraat";3;;1;9713GH;GRONINGEN;"Professor Enno Dirk Wiersmastraat 3 1, 9713GH GRONINGEN";;"260 BW - afrekening van de servicekosten";"Servicekosten lager dan afrekening";"De verzoeker wordt in het gelijk gesteld";20-02-17;Zelfstandig;;;;;2.541,64;1.702,81;;;;;;;Huurder
ZKN-2016-001133;"Professor Enno Dirk Wiersmastraat";3;;-18;9713GH;GRONINGEN;"Professor Enno Dirk Wiersmastraat 3 -18, 9713GH GRONINGEN";;"260 BW - afrekening van de servicekosten";"Servicekosten lager dan afrekening";"De verzoeker wordt in het gelijk gesteld";20-02-17;Zelfstandig;;;;;2.586,26;1.838,68;;;;;;;Huurder
ZKN-2016-001134;"Professor Enno Dirk Wiersmastraat";3;;8;9713GH;GRONINGEN;"Professor Enno Dirk Wiersmastraat 3 8, 9713GH GRONINGEN";;"260 BW - afrekening van de servicekosten";"Servicekosten lager dan afrekening";"De verzoeker wordt in het gelijk gesteld";20-02-17;Zelfstandig;;;;;2.150,84;1.281,66;;;;;;;Huurder
ZKN-2016-001291;Thomsonplein;20;;;2565KV;'S-GRAVENHAGE;"Thomsonplein 20, 2565KV 'S-GRAVENHAGE";;"260 BW - afrekening van de servicekosten";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";20-02-17;Zelfstandig;;;;;1.878,00;217,95;;;;;;;Huurder
ZKN-2016-001292;Thomsonplein;20;;;2565KV;'S-GRAVENHAGE;"Thomsonplein 20, 2565KV 'S-GRAVENHAGE";;"260 BW - afrekening van de servicekosten";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";20-02-17;Zelfstandig;;;;;2.010,00;217,95;;;;;;;Huurder
ZKN-2016-001618;Lindengracht;45;;"H S";1015KC;AMSTERDAM;"Lindengracht 45 H S, 1015KC AMSTERDAM";;"4.3 UHW - melding herstel van gebreken";"Gebreken geheel verholpen";"De verzoeker wordt in het gelijk gesteld";08-02-17;Zelfstandig;461,46;461,46;;;;;;;;;184,58;;Verhuurder
ZKN-2016-001749;Rijpperdapad;56;;;5061LR;OISTERWIJK;"Rijpperdapad 56, 5061LR OISTERWIJK";;"260 BW - afrekening van de servicekosten";"Servicekosten lager dan afrekening";"De verzoeker wordt in het gelijk gesteld";21-02-17;Zelfstandig;;;;;188,28;112,96;;;;;;;Huurder
ZKN-2016-001855;"Tweede Drift Spilsluizen";3;;;9712GV;GRONINGEN;"Tweede Drift Spilsluizen 3, 9712GV GRONINGEN";;"249 BW - toetsing aanvangshuurprijs";"De huurprijs is niet redelijk";"De verzoeker wordt in het gelijk gesteld";27-02-17;Zelfstandig;665;487,56;;;;;;;;;;;Huurder
ZKN-2016-001900;Ericalaan;45;;B;2555LD;'S-GRAVENHAGE;"Ericalaan 45 B, 2555LD 'S-GRAVENHAGE";;"260 BW - afrekening van de servicekosten";"Servicekosten lager dan afrekening";"De verzoeker wordt in het gelijk gesteld";24-02-17;Zelfstandig;;;;;1.315,30;542,83;;;;;;;Huurder
ZKN-2016-002205;Makassarstraat;36;;1;1095SZ;AMSTERDAM;"Makassarstraat 36 1, 1095SZ AMSTERDAM";;"257 BW - huurverlaging in verband met gebreken";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";10-02-17;Zelfstandig;505,67;505,67;;;;;;;;;;;Huurder
ZKN-2016-002234;Einsteinplaats;107;A;;3069JC;ROTTERDAM;"Einsteinplaats 107 A, 3069JC ROTTERDAM";;"260 BW - afrekening van de servicekosten";"Servicekosten lager dan afrekening";"De verzoeker wordt in het gelijk gesteld";06-02-17;Zelfstandig;;;;;583,45;239,23;;;;;;;Huurder
ZKN-2016-002342;Parkweg;285;;;3119CH;SCHIEDAM;"Parkweg 285, 3119CH SCHIEDAM";;"260 BW - afrekening van de servicekosten";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";17-02-17;Zelfstandig;;;;;20;0;;;;;;;Huurder
ZKN-2016-002345;Parkweg;285;;;3119CH;SCHIEDAM;"Parkweg 285, 3119CH SCHIEDAM";;"260 BW - afrekening van de servicekosten";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";17-02-17;Zelfstandig;;;;;240;0;;;;;;;Huurder
ZKN-2016-002464;Vrederustlaan;13;;F;2543SG;'S-GRAVENHAGE;"Vrederustlaan 13 F, 2543SG 'S-GRAVENHAGE";;"260 BW - afrekening van de servicekosten";"Servicekosten conform afrekening";"De wederpartij wordt in het gelijk gesteld";14-02-17;Zelfstandig;;;;;474,57;474,57;;;;;;;Huurder
ZKN-2016-002465;Vrederustlaan;13;;F;2543SG;'S-GRAVENHAGE;"Vrederustlaan 13 F, 2543SG 'S-GRAVENHAGE";;"260 BW - afrekening van de servicekosten";"Servicekosten conform afrekening";"De wederpartij wordt in het gelijk gesteld";14-02-17;Zelfstandig;;;;;517,88;517,88;;;;;;;Huurder
ZKN-2016-002466;Vrederustlaan;13;;F;2543SG;'S-GRAVENHAGE;"Vrederustlaan 13 F, 2543SG 'S-GRAVENHAGE";;"260 BW - afrekening van de servicekosten";"Servicekosten conform afrekening";"De wederpartij wordt in het gelijk gesteld";14-02-17;Zelfstandig;;;;;150,29;150,29;;;;;;;Huurder
ZKN-2016-002467;Vrederustlaan;13;;F;2543SG;'S-GRAVENHAGE;"Vrederustlaan 13 F, 2543SG 'S-GRAVENHAGE";;"261 BW - hoogte voorschot servicekosten";"Geen inhoudelijke uitspraak";"De verzoeker en de wederpartij worden beide in het gelijk/ongelijk gesteld";13-02-17;Zelfstandig;;;;;;;;;;;;;Huurder
ZKN-2016-002649;Struyckenlaan;13;;"B KM A";3527KJ;UTRECHT;"Struyckenlaan 13 B KM A, 3527KJ UTRECHT";;"260 BW - afrekening van de servicekosten";"Servicekosten lager dan afrekening";"De verzoeker wordt in het gelijk gesteld";17-02-17;Onzelfstandig;;;;;1.013,45;147,54;;;;;;;Huurder
ZKN-2016-002651;Struyckenlaan;13;;"B KM B";3527KJ;UTRECHT;"Struyckenlaan 13 B KM B, 3527KJ UTRECHT";;"260 BW - afrekening van de servicekosten";"Servicekosten lager dan afrekening";"De verzoeker wordt in het gelijk gesteld";17-02-17;Onzelfstandig;;;;;1.722,78;294,08;;;;;;;Huurder
ZKN-2016-002684;Vrederustlaan;21;;B;2543SJ;'S-GRAVENHAGE;"Vrederustlaan 21 B, 2543SJ 'S-GRAVENHAGE";;"249 BW - toetsing aanvangshuurprijs";"De huurprijs is redelijk";"De wederpartij wordt in het gelijk gesteld";14-02-17;Zelfstandig;;;;;;;;;;;;;Huurder
ZKN-2016-002696;Struyckenlaan;13;B;KM-D;3527KJ;UTRECHT;"Struyckenlaan 13 B KM-D, 3527KJ UTRECHT";;"260 BW - afrekening van de servicekosten";"Servicekosten lager dan afrekening";"De verzoeker wordt in het gelijk gesteld";17-02-17;Onzelfstandig;;;;;1.418,83;156,88;;;;;;;Huurder
ZKN-2016-002773;Mauritsweg;56;;III;3012JX;ROTTERDAM;"Mauritsweg 56 III, 3012JX ROTTERDAM";;"260 BW - afrekening van de servicekosten";"Servicekosten lager dan afrekening";"De wederpartij wordt in het gelijk gesteld";17-02-17;Zelfstandig;;;;;1.433,00;1.404,89;;;;;;;Huurder
ZKN-2016-002790;Struyckenlaan;13;B;KM-D;3527KJ;UTRECHT;"Struyckenlaan 13 B KM-D, 3527KJ UTRECHT";;"260 BW - afrekening van de servicekosten";"Servicekosten lager dan afrekening";"De verzoeker wordt in het gelijk gesteld";20-02-17;Onzelfstandig;;;;;1.013,45;132,79;;;;;;;Huurder
ZKN-2016-002791;Struyckenlaan;13;;"B KM C";3527KJ;UTRECHT;"Struyckenlaan 13 B KM C, 3527KJ UTRECHT";;"260 BW - afrekening van de servicekosten";"Servicekosten lager dan afrekening";"De verzoeker wordt in het gelijk gesteld";20-02-17;Onzelfstandig;;;;;1.722,78;294,08;;;;;;;Huurder
ZKN-2016-002793;Herengracht;60;;1A;1015BP;AMSTERDAM;"Herengracht 60 1A, 1015BP AMSTERDAM";;"260 BW - afrekening van de servicekosten";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";07-02-17;Zelfstandig;;;;;;0;;;;;;;Huurder
ZKN-2016-002794;Herengracht;60;;1A;1015BP;AMSTERDAM;"Herengracht 60 1A, 1015BP AMSTERDAM";;"260 BW - afrekening van de servicekosten";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";07-02-17;Zelfstandig;;;;;;0;;;;;;;Huurder
ZKN-2016-002799;Berkelstraat;6;;"A KM 2 ET AT";9725GX;GRONINGEN;"Berkelstraat 6 A KM 2 ET AT, 9725GX GRONINGEN";;"260 BW - afrekening van de servicekosten";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";10-02-17;Onzelfstandig;;;;;750;128,32;;;;;;;Huurder
ZKN-2016-002826;"Van Vollenhovenlaan";277;;T;3527JH;UTRECHT;"Van Vollenhovenlaan 277 T, 3527JH UTRECHT";;"260 BW - afrekening van de servicekosten";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";01-02-17;Zelfstandig;;;;;1.400,00;983,08;;;;;;;Huurder
ZKN-2016-002845;Gerberasingel;46;;;2651XX;"BERKEL EN RODENRIJS";"Gerberasingel 46, 2651XX BERKEL EN RODENRIJS";;"257 BW - huurverlaging in verband met gebreken";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";27-02-17;Zelfstandig;655,07;655,07;;;;;;;;;;;Huurder
ZKN-2016-002883;Padangstraat;24;;;2022RR;HAARLEM;"Padangstraat 24, 2022RR HAARLEM";;"257 BW - huurverlaging in verband met gebreken";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";07-02-17;Zelfstandig;305,29;;;;;;;;;;122,12;;Huurder
ZKN-2016-002848;Osdorpplein;765;;;1068TC;AMSTERDAM;"Osdorpplein 765, 1068TC AMSTERDAM";;"260 BW - afrekening van de servicekosten";"Servicekosten conform afrekening";"De wederpartij wordt in het gelijk gesteld";13-02-17;Zelfstandig;;;;;433,59;433,59;;;;;;;Huurder
ZKN-2016-002903;Bonaventurastraat;58;;"A 02";3081HE;ROTTERDAM;"Bonaventurastraat 58 A 02, 3081HE ROTTERDAM";;"257 BW - huurverlaging in verband met gebreken";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";06-02-17;Zelfstandig;690;414;;;;;;;;;414;;Huurder
ZKN-2016-002918;Eekhoornrade;230;;;2544VG;'S-GRAVENHAGE;"Eekhoornrade 230, 2544VG 'S-GRAVENHAGE";;"260 BW - afrekening van de servicekosten";"Servicekosten conform afrekening";"De wederpartij wordt in het gelijk gesteld";14-02-17;Zelfstandig;;;;;1.255,30;1.234,73;;;;;;;Huurder
ZKN-2016-002920;Nevenstede;55;;;2543BA;'S-GRAVENHAGE;"Nevenstede 55, 2543BA 'S-GRAVENHAGE";;"260 BW - afrekening van de servicekosten";"Servicekosten conform afrekening";"De wederpartij wordt in het gelijk gesteld";14-02-17;Zelfstandig;;;;;1.837,32;1.816,35;;;;;;;Huurder
ZKN-2016-002922;Nevenstede;51;;;2543BA;'S-GRAVENHAGE;"Nevenstede 51, 2543BA 'S-GRAVENHAGE";;"260 BW - afrekening van de servicekosten";"Servicekosten conform afrekening";"De wederpartij wordt in het gelijk gesteld";14-02-17;Zelfstandig;;;;;1.858,79;1.858,79;;;;;;;Huurder
ZKN-2016-002936;Nevenstede;57;;;2543BA;'S-GRAVENHAGE;"Nevenstede 57, 2543BA 'S-GRAVENHAGE";;"260 BW - afrekening van de servicekosten";"Servicekosten conform afrekening";"De wederpartij wordt in het gelijk gesteld";14-02-17;Zelfstandig;;;;;795,18;791,68;;;;;;;Huurder
ZKN-2016-002939;Vrederustlaan;21;;C;2543SJ;'S-GRAVENHAGE;"Vrederustlaan 21 C, 2543SJ 'S-GRAVENHAGE";;"260 BW - afrekening van de servicekosten";"Servicekosten conform afrekening";"De wederpartij wordt in het gelijk gesteld";14-02-17;Zelfstandig;;;;;834,68;812,83;;;;;;;Huurder
ZKN-2016-002978;Wittevrouwensingel;34;;;3581GC;UTRECHT;"Wittevrouwensingel 34, 3581GC UTRECHT";;"260 BW - afrekening van de servicekosten";"Servicekosten conform afrekening";"De wederpartij wordt in het gelijk gesteld";09-02-17;Zelfstandig;;;;;1.712,00;1.800,75;;;;;;;Huurder
ZKN-2016-002980;Wittevrouwensingel;34;;;3581GC;UTRECHT;"Wittevrouwensingel 34, 3581GC UTRECHT";;"260 BW - afrekening van de servicekosten";"Servicekosten lager dan afrekening";"De verzoeker wordt in het gelijk gesteld";09-02-17;Zelfstandig;;;;;1.720,00;1.505,88;;;;;;;Huurder
ZKN-2016-002981;Wittevrouwensingel;34;;;3581GC;UTRECHT;"Wittevrouwensingel 34, 3581GC UTRECHT";;"260 BW - afrekening van de servicekosten";"Servicekosten lager dan afrekening";"De wederpartij wordt in het gelijk gesteld";09-02-17;Zelfstandig;;;;;1.959,00;1.793,27;;;;;;;Huurder
ZKN-2016-002990;"Korte Hansenstraat";7;;;2316BN;LEIDEN;"Korte Hansenstraat 7, 2316BN LEIDEN";;"249 BW - toetsing aanvangshuurprijs";"De huurprijs is niet redelijk";"De verzoeker wordt in het gelijk gesteld";01-02-17;Zelfstandig;640;446,46;;;;;;;;;267,88;;Huurder
ZKN-2016-003007;Lindelaan;35;;;7478BG;DIEPENHEIM;"Lindelaan 35, 7478BG DIEPENHEIM";;"257 BW - huurverlaging in verband met gebreken";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";09-02-17;Zelfstandig;461,58;;;;;;;;;;276,95;;Huurder
ZKN-2016-003037;Makassarstraat;36;;1;1095SZ;AMSTERDAM;"Makassarstraat 36 1, 1095SZ AMSTERDAM";;"260 BW - afrekening van de servicekosten";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";14-02-17;Zelfstandig;;;;;376,2;275,54;;;;;;;Huurder
ZKN-2016-003093;Engelmundusstraat;33;;;1971EJ;IJMUIDEN;"Engelmundusstraat 33, 1971EJ IJMUIDEN";;"255 BW - huurprijs na woningverbetering";"De huurprijs mag verhoogd worden";"De verzoeker en de wederpartij worden beide in het gelijk/ongelijk gesteld";09-02-17;Zelfstandig;622,55;627,71;;;;;;;;;;;Huurder
ZKN-2016-003115;Hazenrade;59;;;2544VA;'S-GRAVENHAGE;"Hazenrade 59, 2544VA 'S-GRAVENHAGE";;"260 BW - afrekening van de servicekosten";"Servicekosten lager dan afrekening";"De verzoeker wordt in het gelijk gesteld";14-02-17;Zelfstandig;;;;;1.110,06;783,76;;;;;;;Huurder
ZKN-2016-003116;Hazenrade;59;;;2544VA;'S-GRAVENHAGE;"Hazenrade 59, 2544VA 'S-GRAVENHAGE";;"260 BW - afrekening van de servicekosten";"Servicekosten conform afrekening";"De wederpartij wordt in het gelijk gesteld";14-02-17;Zelfstandig;;;;;2.529,88;2.509,31;;;;;;;Huurder
ZKN-2016-003117;Vrederustlaan;17;;B;2543SH;'S-GRAVENHAGE;"Vrederustlaan 17 B, 2543SH 'S-GRAVENHAGE";;"260 BW - afrekening van de servicekosten";"Servicekosten conform afrekening";"De wederpartij wordt in het gelijk gesteld";14-02-17;Zelfstandig;;;;;;1.615,31;;;;;;;Huurder
ZKN-2016-003119;Bezettingslaan;72;;;9728EK;GRONINGEN;"Bezettingslaan 72, 9728EK GRONINGEN";;"260 BW - afrekening van de servicekosten";"Servicekosten lager dan afrekening";"De verzoeker wordt in het gelijk gesteld";20-02-17;Zelfstandig;;;;;183,45;100,02;;;;;;;Huurder
ZKN-2016-003156;Zestienhovensekade;119;;B;3043KL;ROTTERDAM;"Zestienhovensekade 119 B, 3043KL ROTTERDAM";;"257 BW - huurverlaging in verband met gebreken";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";09-02-17;Zelfstandig;560;;;;;;;;;;224;;Huurder
ZKN-2016-003174;Eekhoornrade;140;;;2544VD;'S-GRAVENHAGE;"Eekhoornrade 140, 2544VD 'S-GRAVENHAGE";;"260 BW - afrekening van de servicekosten";"Servicekosten conform afrekening";"De wederpartij wordt in het gelijk gesteld";14-02-17;Zelfstandig;;;;;960,59;900,74;;;;;;;Huurder
ZKN-2016-003177;Eekhoornrade;140;;;2544VD;'S-GRAVENHAGE;"Eekhoornrade 140, 2544VD 'S-GRAVENHAGE";;"260 BW - afrekening van de servicekosten";"Servicekosten conform afrekening";"De wederpartij wordt in het gelijk gesteld";14-02-17;Zelfstandig;;;;;564,58;564,58;;;;;;;Huurder
ZKN-2016-003178;Eekhoornrade;140;;;2544VD;'S-GRAVENHAGE;"Eekhoornrade 140, 2544VD 'S-GRAVENHAGE";;"260 BW - afrekening van de servicekosten";"Servicekosten lager dan afrekening";"De verzoeker wordt in het gelijk gesteld";14-02-17;Zelfstandig;;;;;291,46;212,81;;;;;;;Huurder
ZKN-2016-003182;Vrederustlaan;17;;B;2543SH;'S-GRAVENHAGE;"Vrederustlaan 17 B, 2543SH 'S-GRAVENHAGE";;"260 BW - afrekening van de servicekosten";"Servicekosten lager dan afrekening";"De verzoeker wordt in het gelijk gesteld";14-02-17;Zelfstandig;;;;;195,56;134,12;;;;;;;Huurder
ZKN-2016-003251;Donkerelaan;155;;;2061JW;BLOEMENDAAL;"Donkerelaan 155, 2061JW BLOEMENDAAL";;"260 BW - afrekening van de servicekosten";"Servicekosten conform afrekening";"De wederpartij wordt in het gelijk gesteld";17-02-17;Zelfstandig;;;;;0;0;;;;;;;Huurder
ZKN-2016-003269;Spoorlaan;42;;"A APP3";5348KB;OSS;"Spoorlaan 42 A APP3, 5348KB OSS";;"260 BW - afrekening van de servicekosten";"Servicekosten lager dan afrekening";"De verzoeker wordt in het gelijk gesteld";13-02-17;Zelfstandig;;;;;3.213,91;1.353,13;;;;;;;Huurder
ZKN-2016-003273;Bankastraat;4;;"A KM 2";9715CA;GRONINGEN;"Bankastraat 4 A KM 2, 9715CA GRONINGEN";;"260 BW - afrekening van de servicekosten";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";20-02-17;Onzelfstandig;;;;;468,72;449,29;;;;;;;Huurder
ZKN-2016-003274;Spoorlaan;42;;"A APP3";5348KB;OSS;"Spoorlaan 42 A APP3, 5348KB OSS";;"260 BW - afrekening van de servicekosten";"Servicekosten lager dan afrekening";"De verzoeker wordt in het gelijk gesteld";13-02-17;Zelfstandig;;;;;3.056,02;1.512,45;;;;;;;Huurder
ZKN-2016-003299;Lindengracht;243;;"3:00 AM";1015KH;AMSTERDAM;"Lindengracht 243 3:00 AM, 1015KH AMSTERDAM";;"260 BW - afrekening van de servicekosten";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";01-02-17;Zelfstandig;;;;;1.920,00;577,03;;;;;;;Huurder
ZKN-2016-003331;Donkersgang;2;;D;9711NM;GRONINGEN;"Donkersgang 2 D, 9711NM GRONINGEN";;"249 BW - toetsing aanvangshuurprijs";"De huurprijs is niet redelijk";"De verzoeker wordt in het gelijk gesteld";01-02-17;Zelfstandig;535;415,63;;;;;;;;;332,5;;Huurder
ZKN-2016-003406;"Karel Doormanstraat";10;F;6;2041HE;ZANDVOORT;"Karel Doormanstraat 10 F 6, 2041HE ZANDVOORT";;"260 BW - afrekening van de servicekosten";"Servicekosten lager dan afrekening";"De wederpartij wordt in het gelijk gesteld";13-02-17;Zelfstandig;;;;;1.742,84;1.061,00;;;;;;;Verhuurder
ZKN-2016-003436;Vestestraat;15;;"D KM 1 ET 1";2312SV;LEIDEN;"Vestestraat 15 D KM 1 ET 1, 2312SV LEIDEN";;"254 BW - voorstel huurprijsverlaging";"De huurprijs is niet redelijk";"De verzoeker en de wederpartij worden beide in het gelijk/ongelijk gesteld";03-02-17;Onzelfstandig;;;;;;;;;;;;;Huurder
ZKN-2016-003474;"Verlengde Hereweg";32;;"A KM 1";9722AD;GRONINGEN;"Verlengde Hereweg 32 A KM 1, 9722AD GRONINGEN";;"260 BW - afrekening van de servicekosten";"De afrekening van verhuurder ontbreekt";"De verzoeker wordt in het gelijk gesteld";23-02-17;Onzelfstandig;;;;;400;372,15;;;;;;;Huurder
